run_id,target_name,family,type,d_total,d_spacing,d_mass,enough_levels_full,enough_levels_partial,n_levels_sim
0.0,pion,pion_like,meson,13.612108727947431,1.8721089627474254,11.739999765200006,1,1,4
0.0,rho,rho_like,meson,5.983134851764292,1.5873015733788733,4.395833278385418,1,1,4
0.0,kaon,kaon_like,meson,8.944738425804863,0.22807190441596867,8.716666521388895,1,1,4
0.0,phi,phi_like,meson,3.4933727897073776,0.985039498179596,2.508333291527782,1,1,4
0.0,eta,eta_like,meson,7.706112320633564,0.47486241102418597,7.231249909609378,1,1,4
0.0,omega_782,omega_like,meson,5.969824851000917,0.9885749132665395,4.981249937734377,1,1,4
0.0,Kstar_892,kstar_like,meson,5.081114882722371,1.5911149176223693,3.4899999651000018,1,1,4
0.0,eta_prime,eta_prime_like,meson,0.9755555458000007,nan,0.9755555458000007,1,1,4
0.0,quark_ud_const,quark_like,constituent,7.255555483,nan,7.255555483,1,1,4
0.0,quark_s_const,quark_like,constituent,4.629629591049383,nan,4.629629591049383,1,1,4
0.0,proton,nucleon_like,baryon,5.530169422140752,2.131558353512277,3.398611068628475,1,1,4
0.0,neutron,nucleon_like,baryon,5.530664926917094,2.138303858210494,3.3923610687065997,1,1,4
0.0,delta_1232,delta_like,baryon,6.486658543676679,4.483695600743346,2.0029629429333338,1,1,4
1.0,pion,pion_like,meson,28.283277020067516,3.186098034831613,25.097178985235903,0,1,2
1.0,rho,rho_like,meson,13.413313007056097,2.640075962234383,10.773237044821714,0,1,2
1.0,kaon,kaon_like,meson,19.328114974435593,2.705465678830178,16.622649295605417,1,1,2
1.0,phi,phi_like,meson,13.049794544596566,2.6354784788522605,10.414316065744305,1,1,2
1.0,eta,eta_like,meson,15.489110329534777,2.328373314556812,13.160737014977965,1,1,2
1.0,omega_782,omega_like,meson,13.209473096553562,2.2987360534505994,10.910737043102964,1,1,2
1.0,Kstar_892,kstar_like,meson,10.235811654886307,2.0022219936324617,8.233589661253845,1,1,2
1.0,eta_prime,eta_prime_like,meson,9.907179388107693,nan,9.907179388107693,1,1,2
1.0,quark_ud_const,quark_like,constituent,16.187179325307692,nan,16.187179325307692,1,1,2
