run_id,best_target,best_family,best_d_total,second_best_target,second_best_family,second_best_d_total,delta_margin
0.0,eta_prime,eta_prime_like,0.9755555458000007,phi,phi_like,3.4933727897073776,2.517817243907377
1.0,deuteron,nucleus,7.3117941406154605,delta_1232,delta_like,9.026176049442569,1.7143819088271082
2.0,quark_ud_const,quark_like,0.32127659253191465,quark_s_const,quark_like,1.6843971490839242,1.3631205565520097
3.0,delta_1232,delta_like,7.6799999232000005,eta_prime,eta_prime_like,10.4199998958,2.7399999725999997
4.0,eta_prime,eta_prime_like,0.9463157800105262,phi,phi_like,4.184744427768437,3.2384286477579107
5.0,eta_prime,eta_prime_like,2.7729411487411753,phi,phi_like,4.172923459291448,1.3999823105502731
6.0,deuteron,nucleus,1.91368401915791,delta_1232,delta_like,8.169519366622385,6.255835347464475
7.0,tau,lepton,4.1381814043637,deuteron,nucleus,5.741817607636398,1.603636203272698
8.0,deuteron,nucleus,6.884443756000073,delta_1232,delta_like,8.95835739538597,2.0739136393858972
9.0,delta_1232,delta_like,2.559758427348882,neutron,nucleon_like,5.137409379523099,2.577650952174217
10.0,eta_prime,eta_prime_like,0.01999999980000113,quark_s_const,quark_like,3.83333330138889,3.8133333015888886
11.0,deuteron,nucleus,3.349090574181844,delta_1232,delta_like,8.397312166372295,5.048221592190451
12.0,delta_1232,delta_like,4.675571951828488,tau,lepton,5.3395739341277135,0.6640019822992258
13.0,tau,lepton,4.3466662320000315,delta_1232,delta_like,5.26869559546128,0.9220293634612489
14.0,eta_prime,eta_prime_like,3.3777464450957777,phi,phi_like,5.159961628080445,1.7822151829846669
15.0,tau,lepton,3.56999964300002,delta_1232,delta_like,6.25669377284094,2.68669412984092
16.0,eta_prime,eta_prime_like,3.463478226234783,delta_1232,delta_like,4.315954583441612,0.8524763572068288
17.0,eta_prime,eta_prime_like,3.496923041953849,Kstar_892,kstar_like,4.097606477435021,0.6006834354811721
18.0,deuteron,nucleus,2.4399997560000224,delta_1232,delta_like,7.0757607930860225,4.6357610370860005
19.0,delta_1232,delta_like,4.1876679383914714,eta_prime,eta_prime_like,5.4849350100857155,1.297267071694244
20.0,delta_1232,delta_like,8.031306841206884,neutron,nucleon_like,9.09831506417509,1.0670082229682052
21.0,deuteron,nucleus,2.4399997560000446,delta_1232,delta_like,7.075760793086026,4.635761037085981
22.0,tau,lepton,4.346666232000054,delta_1232,delta_like,5.545265640278149,1.1985994082780955
23.0,deuteron,nucleus,3.5599996440000212,tau,lepton,6.319999368000078,2.7599997240000564
24.0,eta_prime,eta_prime_like,0.4199999957999993,phi,phi_like,3.3167900647148674,2.8967900689148682
25.0,tau,lepton,2.67999973200002,delta_1232,delta_like,5.449402115223753,2.769402383223733
26.0,delta_1232,delta_like,9.38658375385763,deuteron,nucleus,9.582856184571542,0.1962724307139112
27.0,delta_1232,delta_like,3.2169357840363073,neutron,nucleon_like,6.085695320279295,2.8687595362429876
28.0,delta_1232,delta_like,4.105910928090541,eta_prime,eta_prime_like,6.13428565294286,2.028374724852319
29.0,delta_1232,delta_like,4.419278848051266,eta_prime,eta_prime_like,4.566341417751219,0.14706256969995302
30.0,delta_1232,delta_like,4.355527906182769,eta_prime,eta_prime_like,6.134285652942857,1.7787577467600881
31.0,tau,lepton,2.67999973200002,delta_1232,delta_like,5.449402115223753,2.769402383223733
32.0,eta_prime,eta_prime_like,1.4199999858000014,phi,phi_like,4.374733388438978,2.9547334026389764
33.0,eta_prime,eta_prime_like,2.8143661690394364,phi,phi_like,4.933996667032539,2.1196304979931027
34.0,deuteron,nucleus,4.747691832923136,delta_1232,delta_like,8.619264125102982,3.871572292179845
35.0,delta_1232,delta_like,3.4029667143524085,eta_prime,eta_prime_like,4.53764701344706,1.1346802990946516
36.0,tau,lepton,4.3466662320000315,delta_1232,delta_like,5.2686955954612795,0.922029363461248
37.0,eta_prime,eta_prime_like,3.3232257732193573,phi,phi_like,5.13809405120484,1.8148682779854828
38.0,delta_1232,delta_like,4.140751766130163,eta_prime,eta_prime_like,6.04499993955,1.9042481734198375
39.0,delta_1232,delta_like,9.399178646753857,deuteron,nucleus,9.662221256000114,0.26304260924625744
40.0,deuteron,nucleus,6.189999381000047,delta_1232,delta_like,8.848152082543997,2.6581527015439503
41.0,deuteron,nucleus,7.894544665091021,delta_1232,delta_like,9.118656032247024,1.224111367156003
42.0,quark_s_const,quark_like,0.4340277741608795,quark_ud_const,quark_like,1.1791666548750002,0.7451388807141206
43.0,delta_1232,delta_like,4.448695606964416,eta_prime,eta_prime_like,5.975555495800003,1.5268598888355864
44.0,deuteron,nucleus,2.18358952523079,delta_1232,delta_like,7.047959790045643,4.864370264814853
45.0,delta_1232,delta_like,2.559758427348884,eta_prime,eta_prime_like,5.4199999458000025,2.8602415184511187
46.0,delta_1232,delta_like,3.537140936183878,eta_prime,eta_prime_like,4.965454495800003,1.4283135596161252
47.0,deuteron,nucleus,3.7443474516522017,delta_1232,delta_like,7.217183286813175,3.4728358351609736
48.0,tau,lepton,2.07024369541467,delta_1232,delta_like,5.211961768386628,3.141718072971958
49.0,,,inf,,,inf,
50.0,tau,lepton,0.4648100801012522,delta_1232,delta_like,6.057174764348202,5.5923646842469505
51.0,eta_prime,eta_prime_like,4.286666623800001,delta_1232,delta_like,5.439999943281157,1.1533333194811561
52.0,delta_1232,delta_like,4.783023663059572,eta_prime,eta_prime_like,6.783636295799999,2.0006126327404274
53.0,deuteron,nucleus,1.8457141011428404,delta_1232,delta_like,6.6110868851253795,4.765372783982539
54.0,deuteron,nucleus,5.773332756000044,delta_1232,delta_like,8.782028894838811,3.0086961388387676
55.0,eta_prime,eta_prime_like,4.308888845799998,delta_1232,delta_like,4.609879175936031,0.3009903301360337
56.0,delta_1232,delta_like,5.062173858589882,tau,lepton,6.251427946285758,1.1892540876958755
57.0,delta_1232,delta_like,5.573247540717986,tau,lepton,5.849013499605693,0.27576595888770683
58.0,delta_1232,delta_like,4.925867011916312,eta_prime,eta_prime_like,5.1326436268344855,0.20677661491817378
59.0,quark_ud_const,quark_like,0.503278683491803,quark_s_const,quark_like,0.9972677512522771,0.493989067760474
